product_id,product_name,category,sub_category
P001,Accessories Product 001,Technology,Accessories
P002,Small Appliances Product 002,Home Appliances,Small Appliances
P003,Accessories Product 003,Technology,Accessories
P004,Laptops Product 004,Technology,Laptops
P005,Office Furniture Product 005,Furniture,Office Furniture
P006,Chairs Product 006,Furniture,Chairs
P007,Lighting Product 007,Home Appliances,Lighting
P008,Kitchen Product 008,Home Appliances,Kitchen
P009,Organizers Product 009,Office Supplies,Organizers
P010,Writing Product 010,Office Supplies,Writing
P011,Fragrance Product 011,Beauty & Personal Care,Fragrance
P012,Lighting Product 012,Home Appliances,Lighting
P013,Kitchen Product 013,Home Appliances,Kitchen
P014,Laptops Product 014,Technology,Laptops
P015,Accessories Product 015,Technology,Accessories
P016,Mobiles Product 016,Technology,Mobiles
P017,Lighting Product 017,Home Appliances,Lighting
P018,Laptops Product 018,Technology,Laptops
P019,Cleaning Product 019,Home Appliances,Cleaning
P020,Organizers Product 020,Office Supplies,Organizers
P021,Chairs Product 021,Furniture,Chairs
P022,Laptops Product 022,Technology,Laptops
P023,Kitchen Product 023,Home Appliances,Kitchen
P024,Mobiles Product 024,Technology,Mobiles
P025,Accessories Product 025,Technology,Accessories
P026,Mobiles Product 026,Technology,Mobiles
P027,Lighting Product 027,Home Appliances,Lighting
P028,Accessories Product 028,Technology,Accessories
P029,Kitchen Product 029,Home Appliances,Kitchen
P030,Chairs Product 030,Furniture,Chairs
P031,Writing Product 031,Office Supplies,Writing
P032,Cleaning Product 032,Home Appliances,Cleaning
P033,Cleaning Product 033,Home Appliances,Cleaning
P034,Fragrance Product 034,Beauty & Personal Care,Fragrance
P035,Tables Product 035,Furniture,Tables
P036,Stationery Product 036,Office Supplies,Stationery
P037,Cleaning Product 037,Home Appliances,Cleaning
P038,Accessories Product 038,Technology,Accessories
P039,Lighting Product 039,Home Appliances,Lighting
P040,Kitchen Product 040,Home Appliances,Kitchen
P041,Office Furniture Product 041,Furniture,Office Furniture
P042,Lighting Product 042,Home Appliances,Lighting
P043,Cleaning Product 043,Home Appliances,Cleaning
P044,Small Appliances Product 044,Home Appliances,Small Appliances
P045,Grooming Product 045,Beauty & Personal Care,Grooming
P046,Accessories Product 046,Technology,Accessories
P047,Organizers Product 047,Office Supplies,Organizers
P048,Accessories Product 048,Technology,Accessories
P049,Chairs Product 049,Furniture,Chairs
P050,Laptops Product 050,Technology,Laptops
P051,Accessories Product 051,Technology,Accessories
P052,Laptops Product 052,Technology,Laptops
P053,Cleaning Product 053,Home Appliances,Cleaning
P054,Storage Product 054,Furniture,Storage
P055,Lighting Product 055,Home Appliances,Lighting
P056,Organizers Product 056,Office Supplies,Organizers
P057,Kitchen Product 057,Home Appliances,Kitchen
P058,Lighting Product 058,Home Appliances,Lighting
P059,Haircare Product 059,Beauty & Personal Care,Haircare
P060,Laptops Product 060,Technology,Laptops
P061,Writing Product 061,Office Supplies,Writing
P062,Kitchen Product 062,Home Appliances,Kitchen
P063,Storage Product 063,Furniture,Storage
P064,Chairs Product 064,Furniture,Chairs
P065,Tables Product 065,Furniture,Tables
P066,Lighting Product 066,Home Appliances,Lighting
P067,Lighting Product 067,Home Appliances,Lighting
P068,Lighting Product 068,Home Appliances,Lighting
P069,Monitors Product 069,Technology,Monitors
P070,Writing Product 070,Office Supplies,Writing
P071,Small Appliances Product 071,Home Appliances,Small Appliances
P072,Paper Product 072,Office Supplies,Paper
P073,Fragrance Product 073,Beauty & Personal Care,Fragrance
P074,Fragrance Product 074,Beauty & Personal Care,Fragrance
P075,Kitchen Product 075,Home Appliances,Kitchen
P076,Writing Product 076,Office Supplies,Writing
P077,Storage Product 077,Furniture,Storage
P078,Storage Product 078,Furniture,Storage
P079,Monitors Product 079,Technology,Monitors
P080,Chairs Product 080,Furniture,Chairs
